Video | Codec | Resolution | ProcessingTime_s | Energy_J
wingit.mp4 | h264 | 1280x720 | 129.06s | 1848.09J
wingit.mp4 | h264 | 1920x1080 | 229.77s | 3257.49J
wingit.mp4 | h265 | 854x480 | 118.38s | 1642.03J
wingit.mp4 | h265 | 1280x720 | 214.40s | 3034.04J
wingit.mp4 | h265 | 1920x1080 | 426.03s | 5980.90J
wingit.mp4 | vp9 | 854x480 | 515.15s | 6065.15J
wingit.mp4 | vp9 | 1280x720 | 759.40s | 10174.23J
wingit.mp4 | vp9 | 1920x1080 | 1400.18s | 18811.53J
glass_half.mp4 | av1 | 854x480 | 68.75s | 967.11J
glass_half.mp4 | av1 | 1920x1080 | 153.71s | 2122.00J
sintel.mp4 | av1 | 854x480 | 13.56s | 190.89J
sintel.mp4 | av1 | 1280x720 | 20.20s | 276.35J
sintel.mp4 | av1 | 1920x1080 | 41.55s | 577.70J
tearsofsteel.mp4 | av1 | 854x480 | 39.90s | 571.78J
tearsofsteel.mp4 | av1 | 1280x720 | 54.19s | 756.14J
tearsofsteel.mp4 | av1 | 1920x1080 | 98.97s | 1385.93J
wingit.mp4 | av1 | 854x480 | 83.43s | 1195.01J
wingit.mp4 | av1 | 1280x720 | 116.32s | 1640.90J
wingit.mp4 | av1 | 1920x1080 | 193.78s | 2707.26J

